City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,fort mcmurray,56.7268,-111.381,27.38,21,95,0.66,CA,1686614928
109,lospalos,-8.5186,127.0025,23.67,76,65,4.91,TL,1686614928
110,port elizabeth,-33.918,25.5701,14.16,71,0,6.69,ZA,1686614749
111,avarua,-21.2078,-159.775,26.03,83,40,5.14,CK,1686614724
112,kangar,6.4414,100.1986,26.82,86,90,0.81,MY,1686614929
113,cabo san lucas,22.8909,-109.9124,32.61,52,0,4.53,MX,1686614814
114,blackmans bay,-43.0167,147.3167,8.07,87,72,2.81,AU,1686614930
115,al bawiti,28.3492,28.8659,28.78,30,12,4.89,EG,1686614837
116,nuuk,64.1835,-51.7216,1.34,100,100,3.6,GL,1686614930
117,newman,37.3138,-121.0208,30.19,28,34,1.67,US,1686614930
118,fuyu,45.1833,124.8167,22.28,49,5,2.08,CN,1686614931
119,bettiah,26.8,84.5,29.51,61,7,5.24,IN,1686614931
120,khandyga,62.6667,135.6,11.24,58,100,2.13,RU,1686614931
121,longyearbyen,78.2186,15.6401,1.91,93,75,4.12,SJ,1686614931
122,nuriootpa,-34.4833,139.0,12.91,80,68,9.94,AU,1686614932
123,uturoa,-16.7333,-151.4333,27.25,69,5,7.73,PF,1686614932
124,iskateley,67.6803,53.1512,7.12,87,70,4.47,RU,1686614932
125,sao joao da barra,-21.6403,-41.0511,23.35,86,49,2.56,BR,1686614933
126,valparaiso,-33.0393,-71.6273,7.8,87,0,0.0,CL,1686614784
127,cooma,-36.2333,149.1333,8.92,72,88,2.46,AU,1686614933
128,bandundu,-3.3167,17.3667,22.31,93,36,1.55,CD,1686614933
129,jalai nur,49.45,117.7,25.75,30,88,1.95,CN,1686614934
130,sinop,41.7711,34.8709,14.58,92,91,0.77,TR,1686614934
131,ust-nera,64.5667,143.2,10.65,92,100,4.14,RU,1686614934
132,vilhena,-12.7406,-60.1458,20.29,97,74,1.82,BR,1686614934
133,nova sintra,14.8667,-24.7167,21.57,84,68,6.46,CV,1686614935
134,shingu,33.7333,135.9833,26.92,65,87,1.04,JP,1686614914
135,ribeira brava,32.65,-17.0667,20.35,80,91,0.71,PT,1686614920
136,shimoda,34.6667,138.95,25.61,83,81,1.66,JP,1686614936
137,constantia,44.1833,28.65,13.38,81,58,7.48,RO,1686614936
